stockid,symbol,company_name,security_type,sector,subsector
108,ANIK,Anika Therapeutics Inc,Equity,Health Care,0
109,ANNSF,Aena Sa Ord,Equity,Industrials,0
110,ANSI,Adv Neuromodulation Sys,Equity,Health Care,0
111,ANTM,Anthem Inc,Equity,Health Care,Managed Health Care
112,AOA,iShares Core Aggressive Allocation ETF,Equity,Large Blend,0
113,AOD,Alpine Total Dynamic Fd,Equity,0,0
114,AOL,American Online,Equity,Information Technology,0
115,AON,A O N Plc,Equity,Financials,Insurance Brokers/Services
116,AOR,iShares Core Growth Allocation ETF,Equity,Large Blend,0
117,APA,Apache Corp,Equity,Energy,0
118,APC,Anadarko Petroleum Corp,Equity,Energy,0
119,APCC,American Power Conversion,Equity,Industrials,0
120,APD,Air Product & Chemicals,Equity,Materials,Chemicals: Specialty
121,APH,Amphenol Corp.,Equity,Information Technology,Electronic Components
122,APHA,Aphria Inc,Equity,Health Care,Wholesale Distributors
123,APNR,Alpha Nat Res Hldgs Inc Com New,Equity,Energy,0
124,APOL,Apollo Group Inc Cl A,Equity,Industrials,0
125,APU,Amerigas Partners Lp,Equity,Utilities,0
126,AQUNF,Algonquin Pwr &Utils Cpf,Equity,Utilities,0
127,ARC,Atlantic Richfield,Equity,0,0
128,ARCC,Ares Capital Corp,Equity,Financials,0
129,ARCP,Amern Realty Cap Pptys,Equity,Financials,0
130,ARE,Alexandria Real Est Eqty,Equity,Financials,0
131,AREX,Approach Resources Inc,Equity,Energy,0
132,AREXQ,Approach Resources Inc,Equity,0,0
133,ARKF,ARK Fintech Innovation ETF,Equity,Information Technology,0
134,ARKG,ARK Genomic Revolution ETF,Equity,Health Care,0
135,ARKK,ARK Innovation ETF,Equity,Information Technology,0
136,ARKQ,ARK Autonomous Technology&Robotics ETF,Equity,Information Technology,0
137,ARKW,ARK Next Generation Internet ETF,Equity,Information Technology,0
138,ARMK,Aramark,Equity,Consumer Discretionary,0
139,ARNC,Arconic Inc,Equity,Industrials,0
140,ARO,Aeropostale Inc,Equity,Consumer Discretionary,0
141,ARTG,Art Technology Group Inc,Equity,Information Technology,0
142,ASCLD,Ascential Software New,Equity,Information Technology,0
143,ASH,Ashland Inc,Equity,Energy,0
144,ASIX,Advansix Inc,Equity,Materials,0
145,ASO,Amsouth Bancorp,Equity,Financials,0
146,ATE,Atlantic Energy,Equity,Utilities,0
147,ATG,Atlanta Gas Light,Equity,Utilities,0
148,ATI,AirTouch,Equity,Materials,0
149,ATK,Alliant Techsystems Inc,Equity,Industrials,0
150,ATO,Atmos Energy Corp.,Equity,Utilities,0
151,ATRX,Atrix Labs Inc,Equity,Health Care,0
152,ATT,A T & T Inc,Equity,Corporate Bonds,0
153,ATVI,Activision Inc,Equity,Communications,0
154,AUB,Atlantic Un Bankshares Corp,Equity,Financials,Regional Banks
155,AV,Avaya Inc,Equity,Communications,0
156,AVB,Avalonbay Cmntys Inc,Equity,Real Estate,0
157,AVGO,Broadcom Inc Com,Equity,Information Technology,0
158,AVP,Avon Products Inc,Equity,Consumer Staples,0
159,AVX,A V X Corp New,Equity,Information Technology,0
160,AWE,A T & T Wireless,Equity,Communications,0
161,AWK,American Water Works Co Inc,Equity,Utilities,Water Utilities
162,AX,Axos Financial Inc,Equity,Financials,0
163,AXP,American Express,Equity,Financials,0
164,AXR,Amrep,Equity,0,0
165,AYE,Allegheny Energy Inc,Equity,Utilities,0
166,AZA,Alza Corporation,Equity,0,0
167,AZN,Astrazeneca Plc Adr,Equity,Health Care,Pharmaceuticals: Major
168,BA,Boeing Co.,Equity,Industrials,Aerospace & Defense
169,BABA,Alibaba Group Hldg Adr,Equity,Information Technology,0
170,BAC,Bank of America Corp,Equity,Financials,Major Banks
171,BAC+H,Bank of America Pfd 8.20%,Equity,Preferred Stock,0
172,BAC+Y,Bank Of Amer Cap Tr,Equity,Preferred Stock,0
173,BAH,Booz Allen Hamilton Holding Corp,Equity,Industrials,0
174,BAM,Brookfield Asset Mgm,Equity,Financials,0
175,BANX,StoneCastle Financial Corp,Equity,Financials,0
176,BARI,Bancorp Rhode Island Inc,Equity,Financials,0
177,BASFY,Basf SE Adr,Equity,Materials,0
178,BATRA,The Liberty Braves Group,Equity,Real Estate,Movies/Entertainment
179,BAX,Baxter Intl Inc,Equity,Health Care,Medical Specialties
180,BB,BlackBerry Ltd,Equity,Information Technology,Packaged Software
181,BBBY,Bed Bath & Beyond,Equity,Consumer Discretionary,0
182,BBC,BioShares™ Biotechnology Clinical Trials,Equity,0,0
183,BBI,Barnett Banks Inc,Equity,0,0
184,BBRY,Blackberry Limited,Equity,Information Technology,0
185,BBT,BB&T Corp,Equity,Financials,0
186,BBT+A,Bb&T Bank Enhncd,Equity,Preferred Stock,0
187,BBT+B,BBT Cap Trust VI Pref,Equity,Preferred Stock,0
